N,Narrow_Area,Wide_Area
100,0.4530000000,0.4500000000
600,0.4358333333,0.4305000000
1100,0.4474545455,0.4238181818
1600,0.4360000000,0.4398750000
2100,0.4456666667,0.4320000000
2600,0.4478461538,0.4288846154
3100,0.4410967742,0.4174838710
3600,0.4400833333,0.4412500000
4100,0.4414878049,0.4311219512
4600,0.4459130435,0.4230000000
5100,0.4398235294,0.4281176471
5600,0.4389107143,0.4427678571
6100,0.4418196721,0.4383442623
6600,0.4448787879,0.4478181818
7100,0.4431690141,0.4453098592
7600,0.4415263158,0.4515394737
8100,0.4426049383,0.4506666667
8600,0.4422674419,0.4514651163
9100,0.4430989011,0.4450549451
9600,0.4440312500,0.4372500000
10100,0.4437722772,0.4385940594
10600,0.4408018868,0.4450754717
11100,0.4441171171,0.4466756757
11600,0.4399224138,0.4426293103
12100,0.4448429752,0.4320000000
12600,0.4433571429,0.4424285714
13100,0.4424045802,0.4480763359
13600,0.4432352941,0.4357058824
14100,0.4419929078,0.4426595745
14600,0.4419863014,0.4434657534
15100,0.4433311258,0.4405231788
15600,0.4440961538,0.4487307692
16100,0.4441614907,0.4387639752
16600,0.4420361446,0.4521144578
17100,0.4438362573,0.4413684211
17600,0.4425056818,0.4416136364
18100,0.4415635359,0.4427900552
18600,0.4436290323,0.4398870968
19100,0.4425497382,0.4414712042
19600,0.4415000000,0.4432500000
20100,0.4428756219,0.4437761194
20600,0.4434514563,0.4378106796
21100,0.4429146919,0.4418957346
21600,0.4429305556,0.4419166667
22100,0.4438823529,0.4366832579
22600,0.4437433628,0.4459778761
23100,0.4408268398,0.4480129870
23600,0.4432966102,0.4407711864
24100,0.4411576763,0.4369294606
24600,0.4411544715,0.4451707317
25100,0.4426693227,0.4418964143
25600,0.4435429687,0.4398046875
26100,0.4424559387,0.4452413793
26600,0.4436917293,0.4429962406
27100,0.4438044280,0.4326974170
27600,0.4418586957,0.4389130435
28100,0.4430427046,0.4396227758
28600,0.4427657343,0.4380734266
29100,0.4434192440,0.4405979381
29600,0.4431114865,0.4470506757
30100,0.4431760797,0.4445282392
30600,0.4437189542,0.4452352941
31100,0.4421607717,0.4430257235
31600,0.4450981013,0.4443322785
32100,0.4434485981,0.4455420561
32600,0.4431717791,0.4418006135
33100,0.4421389728,0.4488036254
33600,0.4427886905,0.4407053571
34100,0.4429266862,0.4419237537
34600,0.4417658960,0.4433410405
35100,0.4423475783,0.4432820513
35600,0.4440365169,0.4430224719
36100,0.4431994460,0.4475567867
36600,0.4426448087,0.4444672131
37100,0.4425633423,0.4390835580
37600,0.4440877660,0.4444946809
38100,0.4439160105,0.4395354331
38600,0.4433808290,0.4467590674
39100,0.4416010230,0.4467544757
39600,0.4434823232,0.4439090909
40100,0.4429276808,0.4447032419
40600,0.4426354680,0.4433054187
41100,0.4423065693,0.4428394161
41600,0.4441658654,0.4405673077
42100,0.4425463183,0.4443349169
42600,0.4432793427,0.4426901408
43100,0.4431948956,0.4455522042
43600,0.4425160550,0.4417637615
44100,0.4436575964,0.4400000000
44600,0.4442488789,0.4445717489
45100,0.4435964523,0.4450509978
45600,0.4417478070,0.4402302632
46100,0.4432364425,0.4424642082
46600,0.4431738197,0.4439549356
47100,0.4423609342,0.4450509554
47600,0.4428025210,0.4422857143
48100,0.4432224532,0.4401580042
48600,0.4425987654,0.4450555556
49100,0.4434338086,0.4469022403
49600,0.4436310484,0.4429959677
50100,0.4423253493,0.4441616766
50600,0.4430592885,0.4398083004
51100,0.4429784736,0.4480626223
51600,0.4420019380,0.4443662791
52100,0.4437466411,0.4447312860
52600,0.4433498099,0.4390836502
53100,0.4433427495,0.4443728814
53600,0.4423414179,0.4406641791
54100,0.4444842884,0.4469889094
54600,0.4431593407,0.4458131868
